fpga,board name,company,board image,notes,repos
[CycloneIV EP4CE10](https://www.aliexpress.com/item/32812945851.html?spm=a2g0o.order_list.0.0.21ef1802oBoC0a),zeowaa,altera,zeowaa.jpg,"LEDs(8)
Buttons(2)
Reset(1)
EPCS16",
[CycloneIV EP4CE15](https://github.com/bbttko/CYCLONE_IV_STARTER_KIT),QMtech Cyclone4 starter kit,altera,starterkit.jpg,"GMII ethernet
VGA 565
Winbond 32MB SDRAM
SPI flash 8Mbytes
CP2102 UART
Button(1)
Reset(1)
7-Seg (3)
Leds(2)",https://github.com/bbttko/PicoRV-Cyclone4-Qsys
